页码,微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
8,4911950150501458,N50Sr26s2,粉缥,2023-06-12 23:27:18,闪耀暖暖Day 12 仿生疗愈 ,0,1,1
9,4911949592396721,N50Rxa3uN,且乘风雪,2023-06-12 23:25:05,胜败真的，我的人生疗愈指南。 ,0,0,0
9,4911949512444264,N50RpafRC,Akkoii,2023-06-12 23:24:46,我直到现在还是很受伤的状态，没法去原谅去释怀，所以面对突发状况都是很应激的情绪，唯一能稳住的就是不会发疯。我对悲伤的情绪很感同身受，那些音乐和文字能替我表达我的心情，我想要去说的话。疗愈自己会是很漫长的过程，我也有在期待好起来的时候，更希望爱得更多的人能得到相应的珍视。 ,0,2,1
9,4911948343282260,N50PwdLRG,犬和猫猫懒,2023-06-12 23:20:07,“ 北交天蝎n4°09'38&quot;  理想：深层的情绪连结和了解。 错误：搅动没有必要的情绪，责怪别人让自己产生强烈的情绪反应。  为了获得稳定的人生，这些人必须朝向与大自然连结，而不要把焦点放在与人的连结上。他们可以藉由接纳大自然的宁静，来创造让他们觉得安全的稳定和疗愈的力量，从这个基础上他们会 ...全文,0,0,0
9,4911948137234566,N50Pbum2y,神叨酱塔罗,2023-06-12 23:19:17,【6.13日心灵讯息】心灵疗愈，聆听阿卡西记录的指引与今日玛雅图腾的讯息~让心灵的力量重现，活力满满向前！~#美好心愿季# #神叨酱塔罗# 日运：6.13心灵运势指引 ,1,0,0
9,4911948074849304,N50P5klwA,暴躁美女-,2023-06-12 23:19:03,或许生活的真谛就是一边受伤 一边疗愈 谈恋爱的时候珍惜当下的爱 好好享受当下的爱 不管怎样 这样以后才不会后悔 在爱的时候好好爱 失去才没那么遗憾 ,0,0,1
9,4911947810604619,N50OF2xhV,Neal寶寶紀錄_387,2023-06-12 23:18:00,现代心理占星学@徐圆媛   灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈脑部重建 元辰宫调理 雷诺曼 六爻测算塔罗牌占卜师预测感情关系发展占星骰子算卦三个月事情发展星盘卜卦占星看正缘事业财富格局亲子关系人际关系学业考试双人关系合盘补财库  “我的天空里没有太阳，总是黑夜，但并不暗 ...全文,0,0,0
9,4911947415292226,N50O1mcKu,一颗小豌豆999,2023-06-12 23:16:26,曼陀罗花语：原谅曾经给自己带来伤痛的人，感谢他带来的这些礼物，帮助我们完成了灵魂的疗愈和蜕变。 ,0,0,0
9,4911945934965492,N50LDkPKA,心理咨询师林芳,2023-06-12 23:10:33,治愈伤痛的方式  博主的帖子： 我要用别的男人去治愈那个男人带给我的伤痛。  我的回复： 这个办法只能说也许可以暂时转移你的注意力。但是问题的根源还在那儿。那些伤痛需要被看到，被疗愈。  请你觉察自己的内在，那里，有很多需要你探索的潜意识。这些潜意识，才是源头。  博主的回复： 嗯嗯，谢谢 ...全文,0,0,0
10,4911536349382873,N4Q70DmUF,花瓣月亮,2023-06-11 20:03:00,#星译社##三妈日运##处女座#苏珊米勒2023年6月12日运势处女座   冥王星回到你星盘自我表达宫，你强烈渴望将精力集中于创作事项，这件事对你来说非常个人且很有意义，不仅仅是展示你富有想象力的一面，远不止如此，还有更重要的意义。你可以运用艺术作为疗愈工具，帮你度过曾经的危机，通过艺术表达疏导 ...全文,5,9,82
10,4911927904703032,N50iyjJtm,小豆几_,2023-06-12 21:58:54,nighty night~ 心情疗愈器3.0  #豆皮log##plog博主日记# ,0,16,34
10,4911942349361918,N50FQDhsG,课佳mm66z1哦请备注微博嘿,2023-06-12 22:56:18,易学高级班  《从中医小白到临床实战家  《雾都孤儿》 万能邮件工具 《疗愈师养成计划》 ,0,0,0
10,4911942022205326,N50Fk9fHM,恩婷欸,2023-06-12 22:55:00,玄学命理大师@徐圆媛  灵摆感情调频 SRT深度清理疗愈 内在小孩疗愈 脑部重建 元辰宫 雷诺曼 六爻算卦塔罗牌占卜师 现代星盘占星师本命盘感情合盘占星骰子占卜奇门遁甲 白羊座运势金牛座运势双子座运势巨蟹座运势狮子座运势处女座运势天秤座运势天蝎座运势射手座运势摩羯座 ...全文,0,0,0
